Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,good,exDis,total,x좌표,y좌표
1,3,구파발역,섬식,3299,2,1,1,1,NA,NA,979024,204695,17216,6258959,7442678,37.636763,126.918821
1,3,연신내역,섬식,3277,2,1,1,1,1,0,2601023,531625,28838,12515002,15647650,37.619001,126.921008
1,3,불광역,상대식,4263,2,1,1,1,0,1,1533445,257607,15302,5365615,7156667,37.610469,126.929887
1,3,녹번역,섬식,3249,2,1,1,1,NA,NA,654823,138428,8589,3968476,4761727,37.600927,126.935756
1,3,홍제역,섬식,7220,3,1,2,2,NA,NA,1536408,256106,12537,5567683,7360197,37.589066,126.943736
2,3,무악재역,상대식,4024,3,1,1,1,NA,NA,334202,59806,3934,1168576,1562584,37.582299,126.950291
2,3,독립문역,섬식,3691,3,1,1,1,NA,NA,747585,122867,5903,2134608,3005060,37.574571,126.957748
2,3,경복궁역,섬식,8085,3,1,1,1,NA,NA,882075,188821,16709,8093998,9164894,37.575762,126.97353
2,3,안국역,섬식,8663,4,1,1,1,NA,NA,1327590,182955,19125,8010077,9520622,37.576477,126.985443
2,3,을지로3가역,섬식,6644,3,1,1,1,1,0,599515,102090,9400,2729436,3431041,37.566295,126.99191
2,3,동대입구역,섬식,5730,3,1,1,1,NA,NA,401370,69983,5544,3838145,4309498,37.559052,127.005602
2,3,약수역,섬식,6225,3,1,1,1,0,2,839826,167995,9128,4243026,5250847,37.55434,127.010655
1,3,금호역,섬식,3284,2,1,1,1,NA,NA,570342,90063,4902,2519876,3180281,37.548034,127.015872
1,3,옥수역,상대식,9064,2,1,1,1,NA,NA,614080,90056,4742,3070314,3774450,37.540685,127.017965
1,3,압구정역,상대식,3506,2,1,2,2,NA,NA,1544136,207695,15592,10597344,12349175,37.527072,127.028461
1,3,신사역,상대식,4236,2,1,2,2,NA,NA,710018,141925,8417,10314696,11166639,37.516334,127.020114
1,3,잠원역,상대식,3503,2,1,1,1,NA,NA,373928,45011,2950,1830576,2249515,37.512759,127.01122
2,3,고속터미널역,상대식,13488,3,1,1,1,0,1,1865212,328407,24618,20050662,22244281,37.50481,127.004943
2,3,교대역,섬식,6589,3,1,0,0,0,1,705527,114482,11704,4497486,5317495,37.493415,127.01408
2,3,남부터미널역,상대식,4490,3,1,1,1,NA,NA,1306441,227514,23419,11343333,12877288,37.485013,127.016189
1,3,양재역,상대식,3587,2,1,2,2,NA,NA,1643307,275081,27420,12698126,14616514,37.484147,127.034631
1,3,매봉역,상대식,3934,2,1,1,1,NA,NA,565864,89228,6187,3418103,4073195,37.486947,127.046769
2,3,대치역,섬식,5142,4,1,1,1,NA,NA,646841,78155,6688,3804940,4529936,37.494612,127.063642
2,3,학여울역,상대식,4942,5,1,1,1,NA,NA,162251,27716,1742,907617,1097584,37.496663,127.070594
2,3,대청역,상대식,4552,3,1,1,1,NA,NA,500884,119999,7696,3088132,3709015,37.493514,127.079532
2,3,일원역,상대식,7565,3,1,1,1,NA,NA,551805,112396,6065,2573872,3238073,37.483681,127.08439
1,3,수서역,상대식,5691,2,1,2,2,NA,NA,880598,266434,19462,5249288,6396320,37.487371,127.10188
1,3,가락시장역,상대식,9042,4,1,3,3,1,0,727898,113777,8038,2815326,3657001,37.492522,127.118234
1,3,경찰병원역,상대식,6914,3,1,2,2,NA,NA,385117,76129,5079,2298788,2760034,37.495918,127.12454
2,3,오금역,상대식,11883,4,1,1,1,1,0,266108,57406,4140,2197560,2521074,37.502162,127.128111
2,3,도곡역,상대식,8875,4,1,1,1,NA,NA,311069,43414,3082,2110312,2464795,37.490858,127.055381
2,3,종로3가역,섬식,9055,4,1,1,1,0,3,516820,124088,9048,2621026,3261934,37.571607,126.991806
2,4,당고개역,상대식,4964,3,1,1,1,NA,NA,896022,208586,12580,3877136,4981744,37.670272,127.079066
2,4,상계역,상대식,4636,3,1,1,1,NA,NA,1088375,303320,14243,6602845,7994540,37.660878,127.073572
1,4,노원역,상대식,3223,2,1,2,2,0,0,841424,244800,14811,7346272,8432496,37.655128,127.061368
1,4,창동역,상대식,2689,3,0,2,0,NA,NA,1800563,389076,55513,8727859,10917498,37.653166,127.047731
1,4,쌍문역,상대식,3709,2,1,1,1,NA,NA,1631591,361979,24346,10365132,12358702,37.648627,127.034709
1,4,수유역,상대식,3951,2,1,1,1,NA,NA,2323720,569897,29774,13079769,15973386,37.638052,127.025732
1,4,미아역,상대식,3702,2,1,1,1,NA,NA,1222944,303222,12018,5339462,6865628,37.62667,127.025983
1,4,미아사거리역,상대식,4203,2,1,1,1,NA,NA,1798457,420206,17511,9544130,11762793,37.613292,127.030053
1,4,길음역,섬식,3742,2,1,2,2,NA,NA,1387635,270519,16174,7980166,9638320,37.603407,127.025053
1,4,성신여대입구역,상대식,3967,2,1,2,2,NA,NA,1000090,217510,14187,8413921,9631521,37.592624,127.016403
