Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,good,exDis,total,x좌표,y좌표
1,7,신풍역,상대식,5177,2,1,1,1,NA,NA,648933,143108,10592,3455901,4247942,37.50008,126.90993
2,7,대림역,상대식,4009,3,1,1,1,0,1,334264,84126,3544,3556982,3975372,37.49297,126.895801
2,7,가산디지털단지역,상대식,10117,4,1,1,1,NA,NA,611514,259401,15545,13277256,14148171,37.481072,126.882343
1,7,철산역,상대식,5355,2,1,1,1,NA,NA,928973,236729,21475,7725703,8891405,37.47605,126.867911
2,7,광명사거리역,상대식,6693,3,0.5,1,0.5,NA,NA,1408335,343360,16158,8140189,9891884,37.479252,126.854876
1,7,천왕역,상대식,3516,2,1,2,2,NA,NA,415650,112910,9605,2585121,3113681,37.486637,126.838713
1,7,온수역,복합식,8575,2,1,1,1,NA,NA,307540,94281,7222,3481858,3883679,37.492258,126.823388
1,7,까치울역,섬식,5089,2,1,1,1,NA,NA,230915,67002,4787,2223020,2520937,37.506207,126.810939
1,7,부천종합운동장역,섬식,7289,2,1,2,2,NA,NA,168540,59858,3637,1800971,2029369,37.50538,126.797337
1,7,춘의역,섬식,7401,2,1,2,2,NA,NA,226980,103117,3403,2836342,3166439,37.503663,126.787036
1,7,신중동역,섬식,7272,2,1,3,3,NA,NA,429547,137550,7004,4666920,5234017,37.503048,126.77596
1,7,부천시청역,섬식,4883,2,1,2,2,NA,NA,410597,138301,5918,4057268,4606166,37.504631,126.763538
1,7,상동역,상대식,7609,2,1,2,2,NA,NA,413240,131478,6602,4680508,5225226,37.505781,126.753083
1,7,삼산체육관역,상대식,5701,2,1,2,2,NA,NA,219939,70590,3359,1725214,2015743,37.506411,126.742153
1,7,굴포천역,상대식,5914,2,1,2,2,NA,NA,299087,89843,5260,2934350,3323280,37.506997,126.73128
1,7,부평구청역,상대식,12454,3,2,2,4,NA,NA,263159,90963,6303,3976729,4330851,37.508336,126.720548
2,7,건대입구역,상대식,3969,2,0,0,0,0,4,488513,133122,7502,5524168,6145803,37.540693,127.07023
2,7,남구로역,상대식,8299,4,0,0,0,NA,NA,539851,154877,8426,5140465,5835193,37.486056,126.887249
1,8,암사역,상대식,3475,2,1,1,1,NA,NA,864585,203125,12289,5549641,6617351,37.55021,127.127562
2,8,천호역,상대식,2259,2,1,0,0,1,0,856960,210984,29279,5750678,6818622,37.538397,127.123572
2,8,강동구청역,상대식,3957,3,1,1,1,NA,NA,598296,129523,8841,3142252,3870071,37.530341,127.120508
2,8,몽촌토성역,상대식,6042,3,1,1,1,NA,NA,422281,73743,5354,2055815,2551839,37.517409,127.112359
2,8,잠실역,상대식,13041,3,1,1,1,1,0,600684,143670,10521,4333575,5077929,37.51395,127.102234
1,8,석촌역,상대식,5349,2,1,1,1,NA,NA,571688,114701,7393,2501164,3187553,37.505431,127.106979
1,8,송파역,상대식,3164,2,1,1,1,NA,NA,341866,75568,4487,1601416,2018850,37.499703,127.112183
1,8,가락시장역,상대식,5111,2,1,2,2,1,0,523206,97689,6451,2027801,2648696,37.492522,127.118234
1,8,문정역,상대식,3279,2,1,1,1,NA,NA,399719,108811,5697,4095878,4604408,37.485855,127.1225
1,8,장지역,상대식,4100,2,1,2,2,NA,NA,585989,174058,11439,5431092,6191139,37.478703,127.126191
2,8,복정역,섬식,4444,2,1,0,0,NA,NA,417628,101586,9005,3471328,3990542,37.470047,127.126662
2,8,산성역,상대식,4263,3,1,1,1,NA,NA,337061,84633,3882,1891740,2313434,37.457122,127.149908
2,8,남한산성입구역,상대식,3932,3,1,0,0,NA,NA,704978,170164,9592,4444745,5319887,37.451535,127.159816
2,8,단대오거리역,상대식,6496,3,1,1,1,NA,NA,615751,179511,5573,3521988,4317250,37.44521,127.156866
2,8,신흥역,상대식,3197,2,1,0,0,NA,NA,409355,107219,4119,1256459,1773033,37.440918,127.147564
2,8,수진역,상대식,3402,3,1,0,0,NA,NA,415415,107873,2810,1415092,1938380,37.437428,127.140722
2,8,모란역,상대식,7759,3,1,1,1,NA,NA,505181,111855,5311,1137857,1754893,37.43213,127.129087
