Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,honor,exDis,total,x좌표,y좌표
1,4,혜화역,상대식,3598,2,1,2,2,NA,NA,1225607,3.44867,19419,1.4022808,15593282,37.582336,127.001844
1,4,동대문역,섬식,7851,4,1,2,2,0,1,1493679,3.40853,17084,0.742285,9257382,37.57142,127.009745
2,4,동대문역사문화공원역,섬식,8602,3,1,0,0,0,3,588871,1.72075,11402,0.7795761,8556707,37.565138,127.007896
2,4,충무로역,상대식,9134,3,1,1,1,0,1,1215973,2.92597,23368,1.0199426,11707996,37.561243,126.99428
2,4,명동역,섬식,4591,4,0,0,0,NA,NA,683928,1.93817,12569,1.3714728,14592473,37.560989,126.986325
2,4,회현역,섬식,6790,4,1,1,1,NA,NA,2179579,3.13729,16913,0.8606023,11099331,37.558514,126.978246
1,4,서울역,섬식,5833,2,1,1,1,NA,NA,348066,1.2153,8047,0.4043578,4513174,37.554648,126.972559
1,4,숙대입구역,상대식,3748,2,1,1,1,NA,NA,536088,1.57049,10135,0.5504944,6198081,37.54456,126.972106
1,4,삼각지역,상대식,4787,2,1,2,2,1,0,311392,0.66465,8568,0.1516318,1894175,37.534777,126.97311
1,4,신용산역,상대식,3631,2,1,1,1,NA,NA,444871,1.22947,11050,0.426718,4834998,37.52917,126.967894
1,4,이촌역,상대식,3747,2,1,3,3,NA,NA,475676,0.73488,6656,0.3022154,3571318,37.522272,126.974345
2,4,동작역,상대식,8747,3,1,1,1,NA,NA,222798,0.2631,3778,0.0955237,1204345,37.502971,126.979306
1,4,총신대입구역,상대식,5589,2,1,2,2,NA,NA,1458514,2.21844,17596,0.6366059,8046417,37.486263,126.981989
2,4,사당역,섬식,11591,3,1,1,1,1,0,915324,1.83332,21484,0.9777406,10876062,37.47653,126.981685
2,4,남태령역,섬식,4171,3,1,1,1,NA,NA,95126,0.18275,1431,0.0873099,986500,37.463873,126.989134
1,5,방화역,복합식,5100,2,1,1,1,NA,NA,437745,1.30151,3862,0.2217927,2785823,37.577446,126.812741
1,5,개화산역,상대식,5718,2,1,1,1,NA,NA,304426,1.10929,3748,0.1767692,2183047,37.572399,126.806171
2,5,김포공항역,상대식,7522,3,1,1,1,NA,NA,255085,0.80511,5353,0.2536093,2871689,37.562434,126.801058
1,5,송정역,상대식,4206,3,1,2,2,NA,NA,614074,1.18233,10422,0.2706591,3438898,37.561184,126.811973
1,5,마곡역,상대식,4427,2,1,2,2,NA,NA,208482,0.68937,6141,0.1947559,2224978,37.560183,126.825448
1,5,발산역,상대식,4433,2,1,1,1,NA,NA,573641,1.91354,8745,0.4402011,5167006,37.558598,126.837668
1,5,우장산역,상대식,3634,2,1,1,1,NA,NA,790012,1.50599,12245,0.4785653,5726264,37.548768,126.836318
1,5,화곡역,섬식,7145,2,1,1,1,NA,NA,1308556,3.41856,17622,0.9154696,10805108,37.541513,126.840461
2,5,까치산역,복합식,5111,5,0,0,0,NA,NA,1458476,3.6017,18073,0.9153355,10972001,37.531768,126.846683
2,5,신정역,상대식,4826,3,1,1,1,NA,NA,539557,1.54554,10732,0.46167,5310811,37.524997,126.856191
1,5,목동역,상대식,5365,2,1,1,1,NA,NA,798254,1.86967,14786,0.5751152,6736373,37.526065,126.864931
2,5,오목교역,상대식,9947,3,1,1,1,NA,NA,797980,2.0361,12521,0.8149324,9150914,37.524496,126.875181
2,5,양평역,상대식,7713,5,1,1,1,NA,NA,266923,0.61297,3111,0.190585,2234070,37.525648,126.885778
2,5,영등포구청역,상대식,20239,4,1,1,1,0,2,187060,0.43202,3207,0.1108016,1338278,37.52497,126.895951
2,5,영등포시장역,상대식,10353,6,1,2,2,NA,NA,726498,1.55475,9365,0.2278156,3160129,37.522669,126.905139
2,5,신길역,상대식,8071,4,1,1,1,NA,NA,115179,0.3317,2607,0.0994749,1143098,37.517122,126.917169
1,5,여의도역,상대식,10198,4,1,2,2,NA,NA,476461,1.46189,15415,0.7599417,8222067,37.521624,126.924191
2,5,여의나루역,섬식,8276,5,1,1,1,NA,NA,293010,0.72914,5704,0.3900124,4266048,37.527098,126.932901
2,5,마포역,섬식,6198,5,1,1,1,NA,NA,640729,1.14466,11530,0.4335784,5090979,37.539574,126.945932
1,5,공덕역,섬식,9684,3,1,2,2,1,0,430540,1.05093,9821,0.4257305,4792938,37.544018,126.951592
1,5,애오개역,상대식,5497,4,1,2,2,NA,NA,377632,0.93876,4179,0.2151088,2622596,37.553736,126.95682
2,5,충정로역,섬식,9495,5,1,1,1,1,0,171932,0.4211,2280,0.1455148,1669190,37.559973,126.963672
